,precision,recall,f1-score,support
Pepper__bell___Bacterial_spot,0.9932885906040269,0.9932885906040269,0.9932885906040269,149.0
Pepper__bell___healthy,0.9954954954954955,1.0,0.9977426636568849,221.0
Potato___Early_blight,1.0,0.9866666666666667,0.9932885906040269,150.0
Potato___Late_blight,0.9430379746835443,0.9933333333333333,0.9675324675324676,150.0
Potato___healthy,1.0,0.9565217391304348,0.9777777777777777,23.0
Tomato_Bacterial_spot,0.9753086419753086,0.9905956112852664,0.9828926905132193,319.0
Tomato_Early_blight,0.9230769230769231,0.88,0.9010238907849829,150.0
Tomato_Late_blight,0.9888888888888889,0.9303135888501742,0.9587073608617595,287.0
Tomato_Leaf_Mold,0.9594594594594594,0.993006993006993,0.9759450171821306,143.0
Tomato_Septoria_leaf_spot,0.959409594095941,0.9774436090225563,0.9683426443202979,266.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.9571984435797666,0.9761904761904762,0.9666011787819253,252.0
Tomato__Target_Spot,0.9563106796116505,0.9380952380952381,0.9471153846153846,210.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9854771784232366,0.9854771784232366,0.9854771784232366,482.0
Tomato__Tomato_mosaic_virus,0.9333333333333333,1.0,0.9655172413793104,56.0
Tomato_healthy,1.0,0.9915966386554622,0.9957805907172996,238.0
accuracy,0.9738372093023255,0.9738372093023255,0.9738372093023255,0.9738372093023255
macro avg,0.9713523468818384,0.9728353108842576,0.9718022178503153,3096.0
weighted avg,0.9740206327420048,0.9738372093023255,0.9737210256824298,3096.0
overall_accuracy,0.9738372093023255,0.9738372093023255,0.9738372093023255,0.9738372093023255
