,precision,recall,f1-score,support
Pepper__bell___Bacterial_spot,0.9933,0.9933,0.9933,149.0
Pepper__bell___healthy,0.9955,1.0,0.9977,221.0
Potato___Early_blight,1.0,0.9867,0.9933,150.0
Potato___Late_blight,0.943,0.9933,0.9675,150.0
Potato___healthy,1.0,0.9565,0.9778,23.0
Tomato_Bacterial_spot,0.9753,0.9906,0.9829,319.0
Tomato_Early_blight,0.9231,0.88,0.901,150.0
Tomato_Late_blight,0.9889,0.9303,0.9587,287.0
Tomato_Leaf_Mold,0.9595,0.993,0.9759,143.0
Tomato_Septoria_leaf_spot,0.9594,0.9774,0.9683,266.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.9572,0.9762,0.9666,252.0
Tomato__Target_Spot,0.9563,0.9381,0.9471,210.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9855,0.9855,0.9855,482.0
Tomato__Tomato_mosaic_virus,0.9333,1.0,0.9655,56.0
Tomato_healthy,1.0,0.9916,0.9958,238.0
accuracy,0.9738,0.9738,0.9738,0.9738
macro avg,0.9714,0.9728,0.9718,3096.0
weighted avg,0.974,0.9738,0.9737,3096.0
overall_accuracy,0.9738,0.9738,0.9738,0.9738
