Class,precision,recall,f1-score,support
Pepper: Bacterial Spot,0.9933,0.9933,0.9933,149
Pepper: Healthy,0.9955,1.0,0.9977,221
Potato: Early Blight,1.0,0.9867,0.9933,150
Potato: Late Blight,0.943,0.9933,0.9675,150
Potato: Healthy,1.0,0.9565,0.9778,23
Tomato: Bacterial Spot,0.9753,0.9906,0.9829,319
Tomato: Early Blight,0.9231,0.88,0.901,150
Tomato: Late Blight,0.9889,0.9303,0.9587,287
Tomato: Leaf Mold,0.9595,0.993,0.9759,143
Tomato: Septoria Leaf Spot,0.9594,0.9774,0.9683,266
Tomato: Spider Mites,0.9572,0.9762,0.9666,252
Tomato: Target Spot,0.9563,0.9381,0.9471,210
Tomato: Yellow Leaf Curl Virus,0.9855,0.9855,0.9855,482
Tomato: Mosaic Virus,0.9333,1.0,0.9655,56
Tomato: Healthy,1.0,0.9916,0.9958,238
